gene_symbol,sources,confidence,moi,evidence,disease,hgnc_id,in_clinvar
FXR1,GenCC,medium,Autosomal recessive,strong,"myopathy, congenital, with respiratory insufficiency and bone fractures",,False
FYB1,GenCC,medium,Autosomal recessive,strong,thrombocytopenia 3,,False
FYCO1,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,cataract 18,HGNC:14673,False
FZD6,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,nonsyndromic congenital nail disorder 1,HGNC:4044,False
G6PC1,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,glycogen storage disease I,HGNC:4056,False
G6PC3,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,autosomal recessive severe congenital neutropenia due to G6PC3 deficiency,HGNC:24861,False
GAA,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,glycogen storage disease II,HGNC:4065,False
GAD1,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,early infantile epileptic encephalopathy,HGNC:4092,False
GALC,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,Krabbe disease,HGNC:4115,False
GALE,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,galactose epimerase deficiency,HGNC:4116,False
GALK1,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,galactokinase deficiency,HGNC:4118,False
GALM,GenCC,medium,Autosomal recessive,strong,galactosemia 4,,False
GALNS,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,mucopolysaccharidosis type 4A,HGNC:4122,False
GALNT2,GenCC,medium,Autosomal recessive,strong,"congenital disorder of glycosylation, type iit",,False
GALNT3,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,"tumoral calcinosis, hyperphosphatemic, familial, 1",HGNC:4125,False
GALT,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,galactosemia,HGNC:4135,False
GAMT,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,guanidinoacetate methyltransferase deficiency,HGNC:4136,False
GAN,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,giant axonal neuropathy 1,HGNC:4137,False
GARS1,GenCC,medium,Autosomal recessive,moderate,mitochondrial disease,,False
GAS2,GenCC,medium,Autosomal recessive,moderate,"hearing loss, autosomal recessive 125",,False
GAS2L2,GenCC,medium,Autosomal recessive,strong,"ciliary dyskinesia, primary, 41",,False
GATA5,GenCC,medium,Autosomal recessive,moderate,"congenital heart defects, multiple types, 5",,False
GATB,GenCC,medium,Autosomal recessive,moderate,inborn mitochondrial metabolism disorder,,False
GATM,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,AGAT deficiency,HGNC:4175,False
GBA1,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,Gaucher disease,HGNC:4177,False
GBA2,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,complex hereditary spastic paraplegia,HGNC:18986,False
GBE1,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,glycogen storage disease due to glycogen branching enzyme deficiency,HGNC:4180,False
GCDH,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,glutaryl-CoA dehydrogenase deficiency,HGNC:4189,False
GCGR,GenCC,medium,Autosomal recessive,strong,GCGR-related hyperglucagonemia,,False
GCH1,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,GTP cyclohydrolase I deficiency with hyperphenylalaninemia,HGNC:4193,False
GCK,GenCC,medium,Autosomal recessive,strong,permanent neonatal diabetes mellitus 1,,False
GCLC,GenCC,medium,Autosomal recessive,strong,gamma-glutamylcysteine synthetase deficiency,,False
GCM2,GenCC,medium,Autosomal recessive,strong,"hypoparathyroidism, familial isolated, 2",,False
GCNT2,LocalExcel_GenCC_AR;GenCC,high,Autosomal recessive,definitive,cataract 13 with adult I phenotype,HGNC:4204,False
GCOM1,GenCC,medium,Autosomal recessive,moderate,dilated cardiomyopathy,,False
GCSH,GenCC,medium,Autosomal recessive,strong,glycine encephalopathy,,False
GDAP1,GenCC,medium,Autosomal recessive,strong,Charcot-Marie-Tooth disease recessive intermediate A,,False
GDAP2,GenCC,medium,Autosomal recessive,strong,"spinocerebellar ataxia, autosomal recessive 27",,False
GDF1,GenCC,medium,Autosomal recessive,strong,right atrial isomerism,,False
GDF5,GenCC,medium,Autosomal recessive,definitive,acromesomelic dysplasia 2A,,False
GDF9,GenCC,medium,Autosomal recessive,strong,premature ovarian failure 14,,False
GEMIN4,GenCC,medium,Autosomal recessive,strong,"neurodevelopmental disorder with microcephaly, cataracts, and renal abnormalities",,False
GEMIN5,GenCC,medium,Autosomal recessive,definitive,neurodevelopmental disorder with cerebellar atrophy and motor dysfunction,,False
GFER,GenCC,medium,Autosomal recessive,definitive,mitochondrial disease,,False
GFM1,GenCC,medium,Autosomal recessive,definitive,hepatoencephalopathy due to combined oxidative phosphorylation defect type 1,,False
GFM2,GenCC,medium,Autosomal recessive,strong,combined oxidative phosphorylation deficiency 39,,False
GFPT1,GenCC,medium,Autosomal recessive,definitive,congenital myasthenic syndrome 12,,False
GFRA1,GenCC,medium,Autosomal recessive,strong,renal hypodysplasia/aplasia 4,,False
GGCX,GenCC,medium,Autosomal recessive,definitive,"vitamin K-dependent clotting factors, combined deficiency of, type 1",,False
GGN,GenCC,medium,Autosomal recessive,moderate,spermatogenic failure 69,,False
GGPS1,GenCC,medium,Autosomal recessive,strong,"muscular dystrophy, congenital hearing loss, and ovarian insufficiency syndrome",,False
GH1,GenCC,medium,Autosomal recessive,definitive,isolated growth hormone deficiency type IA,,False
GHR,GenCC,medium,Autosomal recessive,definitive,Laron syndrome,,False
GHRHR,GenCC,medium,Autosomal recessive,definitive,isolated growth hormone deficiency type IB,,False
GIMAP5,GenCC,medium,Autosomal recessive,strong,"portal hypertension, noncirrhotic, 2",,False
GIMAP6,GenCC,medium,Autosomal recessive,strong,autoinflammatory syndrome,,False
GINS1,GenCC,medium,Autosomal recessive,strong,combined immunodeficiency due to GINS1 deficiency,,False
GINS3,GenCC,medium,Autosomal recessive,strong,Meier-Gorlin syndrome,,False
GIPC3,GenCC,medium,Autosomal recessive,definitive,nonsyndromic genetic hearing loss,,False
GJA1,GenCC,medium,Autosomal recessive,definitive,oculodentodigital dysplasia,,False
GJA8,GenCC,medium,Autosomal recessive,moderate,cataract 1 multiple types,,False
GJB2,GenCC,medium,Autosomal recessive,definitive,nonsyndromic genetic hearing loss,,False
GJB3,GenCC,medium,Autosomal recessive,strong,erythrokeratodermia variabilis et progressiva 1,,False
GJB6,GenCC,medium,Autosomal recessive,strong,autosomal recessive nonsyndromic hearing loss 1B,,False
GJC2,GenCC,medium,Autosomal recessive,definitive,hypomyelinating leukodystrophy 2,,False
GK,GenCC,medium,Autosomal recessive,definitive,inborn glycerol kinase deficiency,,False
GLB1,GenCC,medium,Autosomal recessive,definitive,GM1 gangliosidosis,,False
GLDC,GenCC,medium,Autosomal recessive,definitive,glycine encephalopathy,,False
GLDN,GenCC,medium,Autosomal recessive,strong,lethal congenital contracture syndrome 11,,False
GLE1,GenCC,medium,Autosomal recessive,definitive,lethal arthrogryposis-anterior horn cell disease syndrome,,False
GLI1,GenCC,medium,Autosomal recessive,strong,"polydactyly, postaxial, type A8",,False
GLIS2,GenCC,medium,Autosomal recessive,strong,nephronophthisis 7,,False
GLIS3,GenCC,medium,Autosomal recessive,definitive,neonatal diabetes mellitus with congenital hypothyroidism,,False
GLRA1,GenCC,medium,Autosomal recessive,definitive,hyperekplexia 1,,False
GLRB,GenCC,medium,Autosomal recessive,definitive,hyperekplexia 2,,False
GLRX5,GenCC,medium,Autosomal recessive,strong,spasticity-ataxia-gait anomalies syndrome,,False
GLS,GenCC,medium,Autosomal recessive,definitive,glutaminase deficiency,,False
GLUL,GenCC,medium,Autosomal recessive,definitive,congenital brain dysgenesis due to glutamine synthetase deficiency,,False
GLYCTK,GenCC,medium,Autosomal recessive,strong,D-glyceric aciduria,,False
GM2A,GenCC,medium,Autosomal recessive,definitive,Tay-Sachs disease AB variant,,False
GMPPA,GenCC,medium,Autosomal recessive,definitive,"alacrima, achalasia, and intellectual disability syndrome",,False
GMPPB,GenCC,medium,Autosomal recessive,definitive,myopathy caused by variation in GMPPB,,False
GNAT1,GenCC,medium,Autosomal recessive,definitive,inherited retinal dystrophy,,False
GNAT2,GenCC,medium,Autosomal recessive,definitive,GNAT2-related retinopathy,,False
GNB3,GenCC,medium,Autosomal recessive,strong,congenital stationary night blindness 1H,,False
GNB5,GenCC,medium,Autosomal recessive,strong,language delay and attention deficit-hyperactivity disorder/cognitive impairment with or without cardiac arrhythmia,,False
GNE,GenCC,medium,Autosomal recessive,definitive,GNE myopathy,,False
GNMT,GenCC,medium,Autosomal recessive,strong,glycine N-methyltransferase deficiency,,False
GNPAT,GenCC,medium,Autosomal recessive,definitive,glyceronephosphate O-acyltransferase deficiency,,False
GNPNAT1,GenCC,medium,Autosomal recessive,moderate,"rhizomelic dysplasia, Ain-Naz type",,False
GNPTAB,GenCC,medium,Autosomal recessive,definitive,"mucolipidosis type III, alpha/beta",,False
GNPTG,GenCC,medium,Autosomal recessive,definitive,GNPTG-mucolipidosis,,False
GNRH1,GenCC,medium,Autosomal recessive,strong,hypogonadotropic hypogonadism 12 with or without anosmia,,False
GNRHR,GenCC,medium,Autosomal recessive,strong,hypogonadotropic hypogonadism 7 with or without anosmia,,False
GNS,GenCC,medium,Autosomal recessive,definitive,mucopolysaccharidosis type 3D,,False
GOLGA2,GenCC,medium,Autosomal recessive,strong,"developmental delay with hypotonia, myopathy, and brain abnormalities",,False
GON4L,GenCC,medium,Autosomal recessive,strong,complex neurodevelopmental disorder,,False
GON7,GenCC,medium,Autosomal recessive,strong,Galloway-Mowat syndrome 9,,False
GORAB,GenCC,medium,Autosomal recessive,definitive,geroderma osteodysplastica,,False
GOSR2,GenCC,medium,Autosomal recessive,definitive,progressive myoclonus epilepsy,,False
GOT2,GenCC,medium,Autosomal recessive,strong,"developmental and epileptic encephalopathy, 82",,False
GP1BA,GenCC,medium,Autosomal recessive,definitive,Bernard-Soulier syndrome,,False
GP1BB,GenCC,medium,Autosomal recessive,definitive,Bernard-Soulier syndrome,,False
GP6,GenCC,medium,Autosomal recessive,definitive,platelet-type bleeding disorder 11,,False
GP9,GenCC,medium,Autosomal recessive,definitive,Bernard-Soulier syndrome,,False
GPAA1,GenCC,medium,Autosomal recessive,strong,glycosylphosphatidylinositol biosynthesis defect 15,,False
GPATCH11,GenCC,medium,Autosomal recessive,strong,neurodevelopmental disorder,,False
GPC6,GenCC,medium,Autosomal recessive,strong,autosomal recessive omodysplasia,,False
GPD1,GenCC,medium,Autosomal recessive,strong,transient infantile hypertriglyceridemia and hepatosteatosis,,False
GPHN,GenCC,medium,Autosomal recessive,strong,sulfite oxidase deficiency due to molybdenum cofactor deficiency type C,,False
